[2024-05-25 20:40:38.621943][INFO],sample=7384,pothole_count=5
[2024-05-25 20:40:38.635195][INFO],sample=7385,pothole_count=6
[2024-05-25 20:40:38.648453][INFO],sample=7386,pothole_count=7
[2024-05-25 20:40:38.661737][INFO],sample=7387,pothole_count=8
[2024-05-25 20:40:38.674992][INFO],sample=7388,pothole_count=9
[2024-05-25 20:40:38.688242][INFO],sample=7389,pothole_count=10
[2024-05-25 20:40:38.701536][INFO],sample=7390,pothole_count=11
[2024-05-25 20:40:38.714792][INFO],sample=7391,pothole_count=12
[2024-05-25 20:40:38.728050][INFO],sample=7392,pothole_count=13
[2024-05-25 20:40:38.741307][INFO],sample=7393,pothole_count=14
[2024-05-25 20:40:38.754592][INFO],sample=7394,pothole_count=15
[2024-05-25 20:40:38.767892][INFO],sample=7395,pothole_count=16
[2024-05-25 20:40:38.781147][INFO],sample=7396,pothole_count=17
[2024-05-25 20:40:38.794405][INFO],sample=7397,pothole_count=18
[2024-05-25 20:40:38.807653][INFO],sample=7398,pothole_count=19
[2024-05-25 20:40:38.820910][INFO],sample=7399,pothole_count=20
[2024-05-25 20:40:38.834195][INFO],sample=7400,pothole_count=21
[2024-05-25 20:40:38.847451][INFO],sample=7401,pothole_count=22
[2024-05-25 20:40:38.860740][INFO],sample=7402,pothole_count=23
[2024-05-25 20:40:38.873996][INFO],sample=7403,pothole_count=24
[2024-05-25 20:40:38.887279][INFO],sample=7404,pothole_count=25
[2024-05-25 20:40:38.900532][INFO],sample=7405,pothole_count=26
[2024-05-25 20:40:38.913785][INFO],sample=7406,pothole_count=27
[2024-05-25 20:40:38.927070][INFO],sample=7407,pothole_count=28
[2024-05-25 20:40:38.940334][INFO],sample=7408,pothole_count=29
[2024-05-25 20:40:38.953621][INFO],sample=7409,pothole_count=30
[2024-05-25 20:40:38.966882][INFO],sample=7410,pothole_count=31
[2024-05-25 20:40:38.980164][INFO],sample=7411,pothole_count=32
[2024-05-25 20:40:38.993437][INFO],sample=7412,pothole_count=33
[2024-05-25 20:40:39.6688][INFO],sample=7413,pothole_count=34
[2024-05-25 20:40:39.19975][INFO],sample=7414,pothole_count=35
[2024-05-25 20:40:39.33248][INFO],sample=7415,pothole_count=36
[2024-05-25 20:40:39.46489][INFO],sample=7416,pothole_count=37
[2024-05-25 20:40:39.59752][INFO],sample=7417,pothole_count=38
[2024-05-25 20:40:39.73009][INFO],sample=7418,pothole_count=39
[2024-05-25 20:40:39.86298][INFO],sample=7419,pothole_count=40
[2024-05-25 20:40:39.99588][INFO],sample=7420,pothole_count=41
[2024-05-25 20:40:39.112840][INFO],sample=7421,pothole_count=42
[2024-05-25 20:40:39.126095][INFO],sample=7422,pothole_count=43
[2024-05-25 20:40:39.139387][INFO],sample=7423,pothole_count=44
[2024-05-25 20:40:39.152634][INFO],sample=7424,pothole_count=45
[2024-05-25 20:40:39.165884][INFO],sample=7425,pothole_count=46
[2024-05-25 20:40:39.179175][INFO],sample=7426,pothole_count=47
[2024-05-25 20:40:39.192431][INFO],sample=7427,pothole_count=48
[2024-05-25 20:40:39.205689][INFO],sample=7428,pothole_count=49
[2024-05-25 20:40:39.218932][INFO],sample=7429,pothole_count=50
[2024-05-25 20:40:39.232206][INFO],sample=7430,pothole_count=51
[2024-05-25 20:40:39.245588][INFO],sample=7431,pothole_count=52
[2024-05-25 20:40:39.258967][INFO],sample=7432,pothole_count=53
[2024-05-25 20:40:39.272352][INFO],sample=7433,pothole_count=54
[2024-05-25 20:40:39.285684][INFO],sample=7434,pothole_count=55
[2024-05-25 20:40:39.298939][INFO],sample=7435,pothole_count=56
[2024-05-25 20:40:39.312185][INFO],sample=7436,pothole_count=57
[2024-05-25 20:40:39.325461][INFO],sample=7437,pothole_count=58
[2024-05-25 20:40:39.338709][INFO],sample=7438,pothole_count=59
[2024-05-25 20:40:39.351960][INFO],sample=7439,pothole_count=60
[2024-05-25 20:40:39.365304][INFO],sample=7440,pothole_count=61
[2024-05-25 20:40:39.378552][INFO],sample=7441,pothole_count=62
[2024-05-25 20:40:39.391798][INFO],sample=7442,pothole_count=63
[2024-05-25 20:40:39.405042][INFO],sample=7443,pothole_count=64
[2024-05-25 20:40:39.418295][INFO],sample=7444,pothole_count=65
[2024-05-25 20:40:39.431554][INFO],sample=7445,pothole_count=66
[2024-05-25 20:40:39.444806][INFO],sample=7446,pothole_count=67
[2024-05-25 20:40:39.458101][INFO],sample=7447,pothole_count=68
[2024-05-25 20:40:39.471360][INFO],sample=7448,pothole_count=69
[2024-05-25 20:40:39.484619][INFO],sample=7449,pothole_count=70
[2024-05-25 20:40:39.497866][INFO],sample=7450,pothole_count=71
[2024-05-25 20:40:39.511166][INFO],sample=7451,pothole_count=72
[2024-05-25 20:40:39.524534][INFO],sample=7452,pothole_count=73
[2024-05-25 20:40:39.537796][INFO],sample=7453,pothole_count=74
[2024-05-25 20:40:39.551075][INFO],sample=7454,pothole_count=75
[2024-05-25 20:40:39.564331][INFO],sample=7455,pothole_count=76
[2024-05-25 20:40:39.577581][INFO],sample=7456,pothole_count=77
[2024-05-25 20:40:39.590829][INFO],sample=7457,pothole_count=78
[2024-05-25 20:40:39.604079][INFO],sample=7458,pothole_count=79
[2024-05-25 20:40:39.617407][INFO],sample=7459,pothole_count=80
[2024-05-25 20:40:39.630662][INFO],sample=7460,pothole_count=81
[2024-05-25 20:40:39.643918][INFO],sample=7461,pothole_count=82
[2024-05-25 20:40:39.657175][INFO],sample=7462,pothole_count=83
[2024-05-25 20:40:39.670462][INFO],sample=7463,pothole_count=84
[2024-05-25 20:40:39.683708][INFO],sample=7464,pothole_count=85
[2024-05-25 20:40:39.696952][INFO],sample=7465,pothole_count=86
[2024-05-25 20:40:39.710235][INFO],sample=7466,pothole_count=87
[2024-05-25 20:40:39.723494][INFO],sample=7467,pothole_count=88
