lag,threshold,influence,numberOfCorrectBumps,numberOfCorrectPotholes
55,20,0.3,12,3
55,20,0.4,12,3
55,20,0.5,12,3
55,25,0,11,3
55,25,0.1,11,3
55,25,0.2,11,3
55,25,0.3,11,3
55,25,0.4,11,3
55,25,0.5,11,3
55,30,0,10,2
55,30,0.1,10,2
55,30,0.2,10,2
55,30,0.3,10,2
55,30,0.4,10,2
55,30,0.5,10,2
60,0,0,0,0
60,0,0.1,0,0
60,0,0.2,0,0
60,0,0.3,0,0
60,0,0.4,0,0
60,0,0.5,0,0
60,5,0,13,4
60,5,0.1,13,4
60,5,0.2,13,4
60,5,0.3,13,4
60,5,0.4,13,4
60,5,0.5,13,4
60,10,0,13,5
60,10,0.1,13,5
60,10,0.2,13,5
60,10,0.3,13,5
60,10,0.4,13,5
60,10,0.5,13,5
60,15,0,12,4
60,15,0.1,12,4
60,15,0.2,12,4
60,15,0.3,12,4
60,15,0.4,12,4
60,15,0.5,12,4
60,20,0,12,3
60,20,0.1,12,3
60,20,0.2,12,3
60,20,0.3,12,3
60,20,0.4,12,3
60,20,0.5,12,3
60,25,0,11,3
60,25,0.1,11,3
60,25,0.2,11,3
60,25,0.3,11,3
60,25,0.4,11,3
60,25,0.5,11,3
60,30,0,10,2
60,30,0.1,10,2
60,30,0.2,10,2
60,30,0.3,10,2
60,30,0.4,10,2
60,30,0.5,10,2
65,0,0,0,0
65,0,0.1,0,0
65,0,0.2,0,0
65,0,0.3,0,0
65,0,0.4,0,0
65,0,0.5,0,0
65,5,0,13,4
65,5,0.1,13,4
65,5,0.2,13,4
65,5,0.3,13,4
65,5,0.4,13,4
65,5,0.5,13,4
65,10,0,13,5
65,10,0.1,13,5
65,10,0.2,13,5
65,10,0.3,13,5
65,10,0.4,13,5
65,10,0.5,13,5
65,15,0,12,4
65,15,0.1,12,4
65,15,0.2,12,4
65,15,0.3,12,4
65,15,0.4,12,4
65,15,0.5,12,4
65,20,0,12,3
65,20,0.1,12,3
65,20,0.2,12,3
65,20,0.3,12,3
65,20,0.4,12,3
65,20,0.5,12,3
65,25,0,11,3
65,25,0.1,11,3
65,25,0.2,11,3
65,25,0.3,11,3
65,25,0.4,11,3
65,25,0.5,11,3
65,30,0,10,2
65,30,0.1,10,2
65,30,0.2,10,2
65,30,0.3,10,2
65,30,0.4,10,2
65,30,0.5,10,2
70,0,0,0,0
70,0,0.1,0,0
70,0,0.2,0,0
70,0,0.3,0,0
70,0,0.4,0,0
70,0,0.5,0,0
70,5,0,13,4
70,5,0.1,13,4
70,5,0.2,13,4
70,5,0.3,13,4
70,5,0.4,13,4
70,5,0.5,13,4
70,10,0,13,5
70,10,0.1,13,5
70,10,0.2,13,5
70,10,0.3,13,5
70,10,0.4,13,5
70,10,0.5,13,5
70,15,0,12,5
70,15,0.1,12,5
70,15,0.2,12,5
70,15,0.3,12,5
70,15,0.4,12,5
70,15,0.5,12,5
70,20,0,12,3
70,20,0.1,12,3
70,20,0.2,12,3
70,20,0.3,12,3
70,20,0.4,12,3
70,20,0.5,12,3
70,25,0,11,3
70,25,0.1,11,3
70,25,0.2,11,3
70,25,0.3,11,3
70,25,0.4,11,3
70,25,0.5,11,3
70,30,0,10,2
70,30,0.1,10,2
70,30,0.2,10,2
70,30,0.3,10,2
70,30,0.4,10,2
70,30,0.5,10,2
