lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,filterThreshold
50,14.000000,0.250000,21,8,13,11,1,10,38.095238,9.090909,0.230000
50,14.000000,0.250000,21,7,14,11,1,10,33.333333,9.090909,0.240000
50,15.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.150000
50,15.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.160000
50,15.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.170000
50,15.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.180000
50,15.000000,0.250000,21,12,9,11,1,10,57.142857,9.090909,0.190000
50,15.000000,0.250000,21,11,10,11,1,10,52.380952,9.090909,0.200000
50,15.000000,0.250000,21,9,12,11,1,10,42.857143,9.090909,0.210000
50,15.000000,0.250000,21,8,13,11,1,10,38.095238,9.090909,0.220000
50,15.000000,0.250000,21,7,14,11,1,10,33.333333,9.090909,0.230000
50,15.000000,0.250000,21,6,15,11,1,10,28.571429,9.090909,0.240000
50,16.000000,0.250000,21,12,9,11,1,10,57.142857,9.090909,0.150000
50,16.000000,0.250000,21,12,9,11,1,10,57.142857,9.090909,0.160000
50,16.000000,0.250000,21,11,10,11,1,10,52.380952,9.090909,0.170000
50,16.000000,0.250000,21,11,10,11,1,10,52.380952,9.090909,0.180000
50,16.000000,0.250000,21,10,11,11,1,10,47.619048,9.090909,0.190000
50,16.000000,0.250000,21,9,12,11,1,10,42.857143,9.090909,0.200000
50,16.000000,0.250000,21,7,14,11,1,10,33.333333,9.090909,0.210000
50,16.000000,0.250000,21,6,15,11,1,10,28.571429,9.090909,0.220000
50,16.000000,0.250000,21,6,15,11,1,10,28.571429,9.090909,0.230000
50,16.000000,0.250000,21,5,16,11,1,10,23.809524,9.090909,0.240000
50,17.000000,0.250000,21,10,11,11,1,10,47.619048,9.090909,0.150000
50,17.000000,0.250000,21,10,11,11,1,10,47.619048,9.090909,0.160000
50,17.000000,0.250000,21,9,12,11,1,10,42.857143,9.090909,0.170000
50,17.000000,0.250000,21,9,12,11,1,10,42.857143,9.090909,0.180000
50,17.000000,0.250000,21,8,13,11,1,10,38.095238,9.090909,0.190000
50,17.000000,0.250000,21,7,14,11,1,10,33.333333,9.090909,0.200000
50,17.000000,0.250000,21,5,16,11,1,10,23.809524,9.090909,0.210000
50,17.000000,0.250000,21,4,17,11,1,10,19.047619,9.090909,0.220000
50,17.000000,0.250000,21,4,17,11,1,10,19.047619,9.090909,0.230000
50,17.000000,0.250000,21,4,17,11,1,10,19.047619,9.090909,0.240000
50,18.000000,0.250000,21,9,12,11,0,11,42.857143,0.000000,0.150000
50,18.000000,0.250000,21,9,12,11,0,11,42.857143,0.000000,0.160000
50,18.000000,0.250000,21,9,12,11,0,11,42.857143,0.000000,0.170000
50,18.000000,0.250000,21,9,12,11,0,11,42.857143,0.000000,0.180000
50,18.000000,0.250000,21,8,13,11,0,11,38.095238,0.000000,0.190000
50,18.000000,0.250000,21,7,14,11,0,11,33.333333,0.000000,0.200000
50,18.000000,0.250000,21,5,16,11,0,11,23.809524,0.000000,0.210000
50,18.000000,0.250000,21,4,17,11,0,11,19.047619,0.000000,0.220000
50,18.000000,0.250000,21,4,17,11,0,11,19.047619,0.000000,0.230000
50,18.000000,0.250000,21,4,17,11,0,11,19.047619,0.000000,0.240000

50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000
50,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000
50,10.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.200000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000
