lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess
42,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
42,11.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
42,13.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
42,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
42,17.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
42,19.000000,0.250000,19,10,9,8,4,4,52.631579,50.000000
44,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
44,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
44,11.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
44,13.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
44,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
44,17.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
44,19.000000,0.250000,19,10,9,8,4,4,52.631579,50.000000
46,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
46,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
46,11.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
46,13.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
46,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
46,17.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
46,19.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
48,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
48,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
48,11.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
48,13.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
48,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
48,17.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
48,19.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
50,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
50,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
50,11.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
50,13.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
50,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
50,17.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
50,19.000000,0.250000,19,11,8,8,3,5,57.894737,37.500000
52,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
52,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
52,11.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
52,13.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
52,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
52,17.000000,0.250000,19,10,9,8,4,4,52.631579,50.000000
52,19.000000,0.250000,19,11,8,8,3,5,57.894737,37.500000
54,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
54,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
54,11.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
54,13.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
54,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
54,17.000000,0.250000,19,10,9,8,4,4,52.631579,50.000000
54,19.000000,0.250000,19,11,8,8,3,5,57.894737,37.500000
56,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
56,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
56,11.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
56,13.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
56,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
56,17.000000,0.250000,19,10,9,8,3,5,52.631579,37.500000
56,19.000000,0.250000,19,11,8,8,3,5,57.894737,37.500000
58,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
58,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
58,11.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
58,13.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
58,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
58,17.000000,0.250000,19,10,9,8,3,5,52.631579,37.500000
58,19.000000,0.250000,19,11,8,8,3,5,57.894737,37.500000
60,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
60,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
60,11.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
60,13.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
60,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
60,17.000000,0.250000,19,10,9,8,3,5,52.631579,37.500000
