lag,zScoreThreshold,influence,bumpPressCount,correctBumpDetections,incorrectBumpDetections,potholePressCount,correctPotholeDetections,incorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives,activeFilterThreshold,activeFilterPosCoef,activeFilterNegCoef
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.600000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.600000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.600000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.700000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.700000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.700000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.700000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.700000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.700000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.700000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.700000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.700000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.800000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.800000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.800000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.800000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.800000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.900000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.900000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.900000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.900000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.900000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.900000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.900000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.900000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.100000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.100000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.100000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.100000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.100000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.100000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.100000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.100000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.100000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.200000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.200000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.200000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.200000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.200000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.300000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.300000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.300000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.300000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.300000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.300000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.300000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.300000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.300000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.400000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.400000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.300000, 1.400000, 0.500000
