lag,zScoreThreshold,influence,bumpPressCount,correctBumpDetections,incorrectBumpDetections,potholePressCount,correctPotholeDetections,incorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives,activeFilterThresholdBump,activeFilterPosCoefBump,activeFilterNegCoefBump,activeFilterThresholdPothole,activeFilterPosCoefPothole,activeFilterNegCoefPothole
50, 9.000000, 0.250000, 21, 12, 9, 8, 6, 2, 57.142857, 75.000000, 1, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 9, 12, 8, 6, 2, 42.857143, 75.000000, 1, 9, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 5.000000, 0.000000, 21, 15, 6, 8, 4, 4, 71.428571, 50.000000, 22, 13, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 5.000000, 0.100000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 21, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 5.000000, 0.200000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 21, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 5.000000, 0.300000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 21, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 5.000000, 0.400000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 21, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 5.000000, 0.500000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 21, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 6.000000, 0.000000, 21, 18, 3, 8, 4, 4, 85.714286, 50.000000, 6, 9, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 6.000000, 0.100000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 6, 5, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 6.000000, 0.200000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 6, 5, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 6.000000, 0.300000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 6, 5, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 6.000000, 0.400000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 6, 5, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 6.000000, 0.500000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 6, 5, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 7.000000, 0.000000, 21, 18, 3, 8, 4, 4, 85.714286, 50.000000, 5, 11, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 7.000000, 0.100000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 5, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 7.000000, 0.200000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 5, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 7.000000, 0.300000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 5, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 7.000000, 0.400000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 5, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 7.000000, 0.500000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 5, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 8.000000, 0.000000, 21, 15, 6, 8, 4, 4, 71.428571, 50.000000, 3, 11, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 8.000000, 0.100000, 21, 15, 6, 8, 6, 2, 71.428571, 75.000000, 3, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 8.000000, 0.200000, 21, 15, 6, 8, 6, 2, 71.428571, 75.000000, 3, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 8.000000, 0.300000, 21, 15, 6, 8, 6, 2, 71.428571, 75.000000, 3, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 8.000000, 0.400000, 21, 15, 6, 8, 6, 2, 71.428571, 75.000000, 3, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 8.000000, 0.500000, 21, 15, 6, 8, 6, 2, 71.428571, 75.000000, 3, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 9.000000, 0.000000, 21, 12, 9, 8, 4, 4, 57.142857, 50.000000, 1, 12, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 9.000000, 0.100000, 21, 12, 9, 8, 6, 2, 57.142857, 75.000000, 1, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 9.000000, 0.200000, 21, 12, 9, 8, 6, 2, 57.142857, 75.000000, 1, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 9.000000, 0.300000, 21, 12, 9, 8, 6, 2, 57.142857, 75.000000, 1, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 9.000000, 0.400000, 21, 12, 9, 8, 6, 2, 57.142857, 75.000000, 1, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 9.000000, 0.500000, 21, 12, 9, 8, 6, 2, 57.142857, 75.000000, 1, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.000000, 21, 9, 12, 8, 4, 4, 42.857143, 50.000000, 1, 13, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
