lag,zScoreThreshold,influence,bumpPressCount,correctBumpDetections,incorrectBumpDetections,potholePressCount,correctPotholeDetections,incorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives,cutoffFreq,actFiltThres,actFilterPosCoef,actFiltNegCoef
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 7, 1, 4.000000, 0.700000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 5, 0, 4.000000, 0.700000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 0.700000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 3, 5, 42.857143, 37.500000, 19, 3, 4.000000, 0.700000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 11, 10, 8, 1, 7, 52.380952, 12.500000, 10, 2, 4.000000, 0.700000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 6, 1, 4.000000, 0.700000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 5, 0, 4.000000, 0.700000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 4, 4, 38.095238, 50.000000, 19, 5, 4.000000, 0.700000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 11, 10, 8, 3, 5, 52.380952, 37.500000, 13, 2, 4.000000, 0.700000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 7, 1, 4.000000, 0.700000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 5, 0, 4.000000, 0.700000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 4, 4, 38.095238, 50.000000, 19, 5, 4.000000, 0.700000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 11, 10, 8, 3, 5, 52.380952, 37.500000, 13, 3, 4.000000, 0.700000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 7, 1, 4.000000, 0.700000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 6, 1, 4.000000, 0.700000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 4, 4, 42.857143, 50.000000, 18, 7, 4.000000, 0.700000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 3, 5, 57.142857, 37.500000, 13, 4, 4.000000, 0.700000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 1, 7, 52.380952, 12.500000, 8, 2, 4.000000, 0.700000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 7, 1, 4.000000, 0.700000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 4, 4, 38.095238, 50.000000, 9, 2, 4.000000, 0.900000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 0.900000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 0.900000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 0.900000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 7, 14, 8, 3, 5, 33.333333, 37.500000, 11, 2, 4.000000, 0.900000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 6, 2, 4.000000, 0.900000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 1, 4.000000, 0.900000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 0.900000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 6, 15, 8, 3, 5, 28.571429, 37.500000, 12, 2, 4.000000, 0.900000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 2, 6, 47.619048, 25.000000, 7, 2, 4.000000, 0.900000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 0.900000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 0.900000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 6, 15, 8, 3, 5, 28.571429, 37.500000, 12, 2, 4.000000, 0.900000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 3, 5, 47.619048, 37.500000, 7, 1, 4.000000, 0.900000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 0.900000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 1, 4.000000, 0.900000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 7, 14, 8, 3, 5, 33.333333, 37.500000, 11, 3, 4.000000, 0.900000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 3, 5, 47.619048, 37.500000, 8, 1, 4.000000, 0.900000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 6, 2, 4.000000, 0.900000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 0.900000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 2, 6, 42.857143, 25.000000, 9, 0, 4.000000, 1.100000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 1.100000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.100000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 2, 6, 42.857143, 25.000000, 9, 0, 4.000000, 1.100000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 1, 4.000000, 1.100000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 1.100000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 2, 6, 38.095238, 25.000000, 10, 0, 4.000000, 1.100000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 7, 2, 4.000000, 1.100000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 1.100000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 2, 6, 38.095238, 25.000000, 10, 0, 4.000000, 1.100000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 7, 1, 4.000000, 1.100000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 1, 4.000000, 1.100000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 2, 6, 38.095238, 25.000000, 9, 1, 4.000000, 1.100000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 8, 1, 4.000000, 1.100000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 1, 7, 42.857143, 12.500000, 7, 2, 4.000000, 1.300000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.300000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 0, 4.000000, 1.300000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 1, 7, 42.857143, 12.500000, 7, 2, 4.000000, 1.300000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 1, 4.000000, 1.300000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.300000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 1, 7, 38.095238, 12.500000, 8, 2, 4.000000, 1.300000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 3, 4.000000, 1.300000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.300000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 1, 7, 38.095238, 12.500000, 8, 2, 4.000000, 1.300000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 5, 2, 4.000000, 1.300000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 1, 4.000000, 1.300000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 1, 7, 38.095238, 12.500000, 8, 2, 4.000000, 1.300000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 6, 2, 4.000000, 1.300000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.500000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 0, 4.000000, 1.500000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 1, 4.000000, 1.500000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.500000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.500000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 1, 4.000000, 1.500000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 13, 8, 8, 3, 5, 61.904762, 37.500000, 41, 28, 4.000000, 0.500000, 2.000000, 0.100000
50, 15.000000, 0.250000, 21, 13, 8, 8, 4, 4, 61.904762, 50.000000, 35, 33, 4.000000, 0.500000, 2.000000, 0.100000
50, 20.000000, 0.250000, 21, 13, 8, 8, 4, 4, 61.904762, 50.000000, 32, 32, 4.000000, 0.500000, 2.000000, 0.100000
50, 30.000000, 0.250000, 21, 11, 10, 8, 3, 5, 52.380952, 37.500000, 20, 26, 4.000000, 0.500000, 2.000000, 0.100000
50, 20.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 15, 1, 4.000000, 0.800000, 2.000000, 0.100000
