lag,zScoreThreshold,influence,bumpPressCount,correctBumpDetections,incorrectBumpDetections,potholePressCount,correctPotholeDetections,incorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives,cutoffFreq,actFiltThres,actFilterPosCoef,actFiltNegCoef
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.700000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.700000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 14, 1.000000, 0.400000, 1.700000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 4, 4, 23.809524, 50.000000, -1, 11, 1.000000, 0.400000, 1.700000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 10, 1.000000, 0.400000, 1.700000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 4, 1.000000, 0.400000, 1.700000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 4, 1.000000, 0.400000, 1.700000, 0.900000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.800000, 0.100000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 16, 1.000000, 0.400000, 1.800000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 14, 1.000000, 0.400000, 1.800000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -1, 13, 1.000000, 0.400000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 10, 1.000000, 0.400000, 1.800000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 7, 1.000000, 0.400000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 4, 1.000000, 0.400000, 1.800000, 0.900000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.100000, 0.100000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.100000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.100000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 2, 1.000000, 0.500000, 1.100000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 1, 7, 23.809524, 12.500000, 0, 2, 1.000000, 0.500000, 1.100000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 2, 1.000000, 0.500000, 1.100000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 1, 1.000000, 0.500000, 1.100000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 0, 1.000000, 0.500000, 1.100000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 0, 1.000000, 0.500000, 1.100000, 0.900000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.200000, 0.100000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.200000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 2, 1.000000, 0.500000, 1.200000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 1, 7, 23.809524, 12.500000, 0, 2, 1.000000, 0.500000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 2, 1.000000, 0.500000, 1.200000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 0, 1.000000, 0.500000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 0, 1.000000, 0.500000, 1.200000, 0.900000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.300000, 0.100000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.300000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.300000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.300000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 2, 1.000000, 0.500000, 1.300000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 1, 7, 23.809524, 12.500000, 0, 2, 1.000000, 0.500000, 1.300000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 2, 1.000000, 0.500000, 1.300000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 1, 1.000000, 0.500000, 1.300000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 0, 1.000000, 0.500000, 1.300000, 0.900000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.400000, 0.100000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.400000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 2, 1.000000, 0.500000, 1.400000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 2, 1.000000, 0.500000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 1, 7, 23.809524, 12.500000, 0, 2, 1.000000, 0.500000, 1.400000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 2, 1.000000, 0.500000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 1, 1.000000, 0.500000, 1.400000, 0.900000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 2, 1.000000, 0.500000, 1.500000, 0.100000
