lag,threshold,influence,numberOfCorrectBumpDetections,numberOfCorrectPotholeDetections,numberOfIncorrectBumpDetections,numberOfIncorrectPotholeDetections
58,16.000000,0.250000,13,4,8,7
58,17.000000,0.250000,12,3,9,8
58,18.000000,0.250000,13,4,8,7
58,19.000000,0.250000,13,4,8,7
58,20.000000,0.250000,13,4,8,7
60,7.000000,0.250000,14,6,7,5
60,8.000000,0.250000,14,6,7,5
60,9.000000,0.250000,14,6,7,5
60,10.000000,0.250000,14,6,7,5
60,11.000000,0.250000,13,5,8,6
60,12.000000,0.250000,13,5,8,6
60,13.000000,0.250000,13,5,8,6
60,14.000000,0.250000,13,5,8,6
60,15.000000,0.250000,13,4,8,7
60,16.000000,0.250000,13,4,8,7
60,17.000000,0.250000,12,3,9,8
60,18.000000,0.250000,13,4,8,7
60,19.000000,0.250000,13,4,8,7
60,20.000000,0.250000,13,4,8,7
