[2024-06-04 16:52:08.474074][INFO],sample=5234,pothole_count=91
[2024-06-04 16:52:08.487299][INFO],sample=5235,bump_count=2
[2024-06-04 16:52:08.487340][INFO],sample=5235,pothole_count=92
[2024-06-04 16:52:08.500566][INFO],sample=5236,bump_count=3
[2024-06-04 16:52:08.500607][INFO],sample=5236,pothole_count=93
[2024-06-04 16:52:08.513832][INFO],sample=5237,bump_count=4
[2024-06-04 16:52:08.513873][INFO],sample=5237,pothole_count=94
[2024-06-04 16:52:08.527098][INFO],sample=5238,bump_count=5
[2024-06-04 16:52:08.527138][INFO],sample=5238,pothole_count=95
[2024-06-04 16:52:08.540370][INFO],sample=5239,bump_count=6
[2024-06-04 16:52:08.540411][INFO],sample=5239,pothole_count=96
[2024-06-04 16:52:08.553681][INFO],sample=5240,bump_count=7
[2024-06-04 16:52:08.553795][INFO],sample=5240,pothole_count=97
[2024-06-04 16:52:08.567082][INFO],sample=5241,bump_count=8
[2024-06-04 16:52:08.567183][INFO],sample=5241,pothole_count=98
[2024-06-04 16:52:08.580496][INFO],sample=5242,bump_count=9
[2024-06-04 16:52:08.580606][INFO],sample=5242,pothole_count=99
[2024-06-04 16:52:08.593854][INFO],sample=5243,bump_count=10
[2024-06-04 16:52:08.593897][INFO],sample=5243,pothole_count=100
[2024-06-04 16:52:08.607124][INFO],sample=5244,bump_count=11
[2024-06-04 16:52:08.607169][INFO],sample=5244,pothole_count=101
[2024-06-04 16:52:08.620397][INFO],sample=5245,bump_count=12
[2024-06-04 16:52:08.620439][INFO],sample=5245,pothole_count=102
[2024-06-04 16:52:08.633662][INFO],sample=5246,bump_count=13
[2024-06-04 16:52:08.633703][INFO],sample=5246,pothole_count=103
[2024-06-04 16:52:08.646927][INFO],sample=5247,bump_count=14
[2024-06-04 16:52:08.646968][INFO],sample=5247,pothole_count=104
[2024-06-04 16:52:08.660189][INFO],sample=5248,bump_count=15
[2024-06-04 16:52:08.660230][INFO],sample=5248,pothole_count=105
